Sample.Date,Region,Copies.mL,7.day.avg,Low.Confidence.Interval,High.Confidence.Interval
2020-03-01,Southern,NA,NA,NA,NA
2020-03-01,Northern,NA,NA,NA,NA
2020-03-02,Southern,NA,NA,NA,NA
2020-03-02,Northern,NA,NA,NA,NA
2020-03-03,Southern,NA,NA,NA,NA
2020-03-03,Northern,NA,NA,NA,NA
2020-03-04,Southern,NA,NA,NA,NA
2020-03-04,Northern,NA,NA,NA,NA
2020-03-05,Southern,NA,NA,NA,NA
2020-03-05,Northern,NA,NA,NA,NA
2020-03-06,Southern,NA,NA,NA,NA
2020-03-06,Northern,NA,NA,NA,NA
2020-03-07,Southern,NA,NA,NA,NA
2020-03-07,Northern,NA,NA,NA,NA
2020-03-08,Southern,NA,NA,NA,NA
2020-03-08,Northern,NA,NA,NA,NA
2020-03-09,Southern,NA,NA,NA,NA
2020-03-09,Northern,29,NA,9,14
2020-03-10,Southern,38,NA,12,17
2020-03-10,Northern,15,21,5,7
2020-03-11,Southern,31,34,10,15
2020-03-11,Northern,65,31,21,30
2020-03-12,Southern,25,31,8,12
2020-03-12,Northern,36,32,11,17
2020-03-13,Southern,NA,31,0,0
2020-03-13,Northern,NA,32,0,0
2020-03-14,Southern,16,26,5,7
2020-03-14,Northern,27,31,9,13
2020-03-15,Southern,39,28,12,18
2020-03-15,Northern,53,34,17,25
2020-03-16,Southern,33,29,10,15
2020-03-16,Northern,23,32,7,11
2020-03-17,Southern,106,35,33,49
2020-03-17,Northern,78,43,24,36
2020-03-18,Southern,65,39,21,30
2020-03-18,Northern,45,40,14,21
2020-03-19,Southern,19,37,6,9
2020-03-19,Northern,49,42,16,23
2020-03-20,Southern,NA,37,0,0
2020-03-20,Northern,NA,42,0,0
2020-03-21,Southern,NA,44,0,0
2020-03-21,Northern,NA,46,0,0
2020-03-22,Southern,NA,45,0,0
2020-03-22,Northern,NA,45,0,0
2020-03-23,Southern,146,66,46,68
2020-03-23,Northern,380,90,120,176
2020-03-24,Southern,NA,56,0,0
2020-03-24,Northern,321,129,102,148
2020-03-25,Southern,30,43,9,14
2020-03-25,Northern,228,192,72,105
2020-03-26,Southern,370,117,117,171
2020-03-26,Northern,39,182,12,18
2020-03-27,Southern,34,86,11,16
2020-03-27,Northern,299,201,95,138
2020-03-28,Southern,NA,86,0,0
2020-03-28,Northern,NA,201,0,0
2020-03-29,Southern,NA,86,0,0
2020-03-29,Northern,NA,201,0,0
2020-03-30,Southern,46,64,15,21
2020-03-30,Northern,219,180,69,101
2020-03-31,Southern,NA,64,0,0
2020-03-31,Northern,NA,155,0,0
2020-04-01,Southern,143,95,45,66
2020-04-01,Northern,475,187,150,220
2020-04-02,Southern,NA,61,0,0
2020-04-02,Northern,NA,315,0,0
2020-04-03,Southern,233,116,74,108
2020-04-03,Northern,438,357,138,202
2020-04-04,Southern,NA,116,0,0
2020-04-04,Northern,NA,357,0,0
2020-04-05,Southern,NA,116,0,0
2020-04-05,Northern,NA,357,0,0
2020-04-06,Southern,NA,182,0,0
2020-04-06,Northern,NA,456,0,0
2020-04-07,Southern,310,218,98,143
2020-04-07,Northern,562,489,178,260
2020-04-08,Southern,NA,269,0,0
2020-04-08,Northern,NA,496,0,0
2020-04-09,Southern,501,331,158,231
2020-04-09,Northern,784,578,248,362
2020-04-10,Southern,NA,394,0,0
2020-04-10,Northern,NA,664,0,0
2020-04-11,Southern,NA,394,0,0
2020-04-11,Northern,NA,664,0,0
2020-04-12,Southern,NA,394,0,0
2020-04-12,Northern,NA,664,0,0
2020-04-13,Southern,NA,394,0,0
2020-04-13,Northern,NA,664,0,0
2020-04-14,Southern,389,441,123,180
2020-04-14,Northern,702,742,222,324
2020-04-15,Southern,NA,441,0,0
2020-04-15,Northern,NA,742,0,0
2020-04-16,Southern,138,232,44,64
2020-04-16,Northern,321,474,101,148
2020-04-17,Southern,164,206,52,76
2020-04-17,Northern,360,433,114,166
2020-04-18,Southern,NA,206,0,0
2020-04-18,Northern,NA,433,0,0
2020-04-19,Southern,NA,206,0,0
2020-04-19,Northern,NA,433,0,0
2020-04-20,Southern,NA,206,0,0
2020-04-20,Northern,NA,433,0,0
2020-04-21,Southern,NA,150,0,0
2020-04-21,Northern,NA,340,0,0
2020-04-22,Southern,220,171,70,102
2020-04-22,Northern,541,397,171,250
2020-04-23,Southern,179,186,57,83
2020-04-23,Northern,283,381,90,131
2020-04-24,Southern,NA,199,0,0
2020-04-24,Northern,NA,391,0,0
2020-04-25,Southern,NA,199,0,0
2020-04-25,Northern,NA,391,0,0
2020-04-26,Southern,NA,199,0,0
2020-04-26,Northern,NA,391,0,0
2020-04-27,Southern,130,173,41,60
2020-04-27,Northern,NA,391,0,0
2020-04-28,Southern,97,149,31,45
2020-04-28,Northern,293,355,93,135
2020-04-29,Southern,NA,131,0,0
2020-04-29,Northern,NA,288,0,0
2020-04-30,Southern,NA,112,0,0
2020-04-30,Northern,NA,293,0,0
2020-05-01,Southern,NA,112,0,0
2020-05-01,Northern,NA,293,0,0
2020-05-02,Southern,NA,112,0,0
2020-05-02,Northern,NA,293,0,0
2020-05-03,Southern,209,138,66,96
2020-05-03,Northern,93,165,29,43
2020-05-04,Southern,NA,142,0,0
2020-05-04,Northern,NA,165,0,0
2020-05-05,Southern,97,142,31,45
2020-05-05,Northern,94,94,30,44
2020-05-06,Southern,5,47,2,2
2020-05-06,Northern,22,58,7,10
2020-05-07,Southern,NA,47,0,0
2020-05-07,Northern,NA,58,0,0
2020-05-08,Southern,NA,47,0,0
2020-05-08,Northern,NA,58,0,0
